1000446,1,筐,1,1,1,1
1000950,24,筐,24,24,24,24
1000858,24,筐,24,24,24,24
1000203,7,筐,7,7,7,7
1000025,16,筐,16,16,16,16
1000430,16,筐,16,16,16,16
1000024,12,筐,12,12,12,12
1000875,16,筐,16,16,16,16
1000118,24,筐,24,24,24,24
1000066,12,筐,12,12,12,12
1000375,12,筐,12,12,12,12
1000029,24,筐,24,24,24,24
1000445,2,筐,2,2,2,2
1000315,6,筐,6,6,6,6
1000784,24,筐,24,24,24,24
1000484,24,筐,24,24,24,24
1000591,24,筐,24,24,24,24
1000461,24,筐,24,24,24,24
1000874,16,筐,16,16,16,16
1000030,16,筐,16,16,16,16
1000422,16,筐,16,16,16,16
1000623,16,筐,16,16,16,16
1000257,24,筐,24,24,24,24
1000609,16,筐,16,16,16,16
1000789,22,筐,22,22,22,22
1000603,2,筐,2,2,2,2
1000602,22,筐,22,22,22,22
1000050,16,筐,16,16,16,16
1001030,22,筐,22,22,22,22
1000073,36,筐,36,36,36,36
1000032,16,筐,16,16,16,16
1000145,22,筐,22,22,22,22
1001044,2,筐,2,2,2,2
1000427,16,筐,16,16,16,16
1000608,16,筐,16,16,16,16
1000851,22,筐,22,22,22,22
1000316,20,筐,20,20,20,20
1000380,16,筐,16,16,16,16
1000088,16,筐,16,16,16,16
1000414,16,箱,16,16,16,16
1000426,16,筐,16,16,16,16
1000584,36,筐,36,36,36,36
1000143,16,筐,16,16,16,16
1000146,25,筐,25,25,25,25
1000757,36,筐,36,36,36,36
1000674,9,筐,9,9,9,9
1000094,12,箱,12,12,12,12
1000039,30,筐,30,30,30,30
1000410,25,筐,25,25,25,25
1000040,16,筐,16,16,16,16
1000701,24,箱,24,24,24,24
1000799,24,筐,24,24,24,24
1000101,8,筐,8,8,8,8
1000093,30,筐,30,30,30,30
1001021,16,筐,16,16,16,16
1000291,48,箱,48,48,48,48
1000130,30,筐,30,30,30,30
1000087,15,筐,15,15,15,15
1000366,10,筐,10,10,10,10
1000667,30,筐,30,30,30,30
1000041,20,筐,20,20,20,20
1000501,20,筐,20,20,20,20
1001031,24,筐,24,24,24,24
1000654,3,筐,3,3,3,3
1000476,36,筐,36,36,36,36
1000428,30,筐,30,30,30,30
1000887,24,筐,24,24,24,24
1000267,100,箱,100,100,100,100
1000797,36,筐,36,36,36,36
1001081,10,筐,10,10,10,10
1000241,30,箱,30,30,30,30
1900263,30,筐,30,30,30,30
1000471,72,筐,72,72,72,72
1000245,90,筐,90,90,90,90
1000036,30,筐,30,30,30,30
1000091,60,箱,60,60,60,60
1000135,54,筐,54,54,54,54
1000395,2,筐,2,2,2,2
1000751,2,筐,2,2,2,2
1000318,2,筐,2,2,2,2
1001095,2,筐,2,2,2,2
1000403,2,筐,2,2,2,2
1000235,4,筐,4,4,4,4
1000314,2,筐,2,2,2,2
1000324,2,筐,2,2,2,2
1000289,2,筐,2,2,2,2
1000323,2,筐,2,2,2,2
1001009,8,筐,8,8,8,8
1000898,8,筐,8,8,8,8
1000409,8,筐,8,8,8,8
1000899,6,筐,6,6,6,6
1000067,10,筐,10,10,10,10
1000233,6,筐,6,6,6,6
1000179,10,筐,10,10,10,10
1000651,7,筐,7,7,7,7
1000861,10,筐,10,10,10,10
1000746,6,箱,6,6,6,6
1000363,8,筐,8,8,8,8
1001136,24,筐,24,24,24,24
1000349,24,筐,24,24,24,24
1000482,24,箱,24,24,24,24
1000367,24,筐,24,24,24,24
1000097,24,筐,24,24,24,24
1000888,30,筐,30,30,30,30
1000809,24,筐,24,24,24,24
1000845,24,筐,24,24,24,24
1000373,24,筐,24,24,24,24
1000618,24,筐,24,24,24,24
1000378,24,筐,24,24,24,24
1000607,16,筐,16,16,16,16
1000329,24,筐,24,24,24,24
1001104,8,筐,8,8,8,8
1000346,24,筐,24,24,24,24
1001099,3,箱,3,3,3,3
1000377,24,筐,24,24,24,24
1001098,36,筐,36,36,36,36
1001102,12,筐,12,12,12,12
1000274,24,筐,24,24,24,24
1000202,24,筐,24,24,24,24
1000275,30,筐,30,30,30,30
1000240,36,箱,36,36,36,36
1001101,10,筐,10,10,10,10
1001096,9,筐,9,9,9,9
1000413,24,筐,24,24,24,24
1001094,30,筐,30,30,30,30
1000811,24,筐,24,24,24,24
1000406,32,筐,32,32,32,32
1000475,30,筐,30,30,30,30
1000138,39,筐,39,39,39,39
1000941,12,筐,12,12,12,12
1001120,30,筐,30,30,30,30
1000594,30,筐,30,30,30,30
1000016,48,筐,48,48,48,48
1001111,2,筐,2,2,2,2
1000331,60,筐,60,60,60,60
1000813,24,筐,24,24,24,24
1000044,36,筐,36,36,36,36
1001138,20,筐,20,20,20,20
1000659,24,筐,24,24,24,24
1000520,20,筐,20,20,20,20
1000559,15,筐,15,15,15,15
1000536,15,筐,15,15,15,15
1000627,15,筐,15,15,15,15
1000764,15,筐,15,15,15,15
1000260,30,筐,30,30,30,30
1000398,24,筐,24,24,24,24
1000630,15,筐,15,15,15,15
1000673,36,筐,36,36,36,36
1000168,40,筐,40,40,40,40
1000127,15,筐,15,15,15,15
1000412,40,筐,40,40,40,40
1000139,50,筐,50,50,50,50
1000527,24,筐,24,24,24,24
1000437,30,筐,30,30,30,30
1000669,24,筐,24,24,24,24
1000147,36,筐,36,36,36,36
1000105,16,筐,16,16,16,16
1000337,24,筐,24,24,24,24
1000769,24,筐,24,24,24,24
1000833,21,筐,21,21,21,21
1000564,25,筐,25,25,25,25
1000699,21,筐,21,21,21,21
1000345,36,筐,36,36,36,36
1000590,32,筐,32,32,32,32
1000846,16,筐,16,16,16,16
1001029,30,筐,30,30,30,30
1000855,15,筐,15,15,15,15
1000124,65,筐,65,65,65,65
1001049,18,筐,18,18,18,18
1000817,24,筐,24,24,24,24
1000675,28,筐,28,28,28,28
1000605,30,筐,30,30,30,30
1000110,36,筐,36,36,36,36
1000793,16,筐,16,16,16,16
1000792,16,筐,16,16,16,16
1000006,24,筐,24,24,24,24
1000749,24,筐,24,24,24,24
1000005,8,筐,8,8,8,8
1000679,108,筐,108,108,108,108
1000443,10,筐,10,10,10,10
1000772,108,筐,108,108,108,108
1000191,48,箱,48,48,48,48
1001059,48,箱,48,48,48,48
1000420,8,件,8,8,8,8
1001103,20,筐,20,20,20,20
1000870,16,筐,16,16,16,16
1000885,20,筐,20,20,20,20
1000678,15,筐,15,15,15,15
1000081,36,筐,36,36,36,36
1000644,20,筐,20,20,20,20
1000805,150,筐,150,150,150,150
1001076,60,筐,60,60,60,60
1001070,60,筐,60,60,60,60
1000680,60,筐,60,60,60,60
1001075,80,筐,80,80,80,80
1000628,90,筐,90,90,90,90
1000113,15,筐,15,15,15,15
1000059,48,筐,48,48,48,48
1000515,10,筐,10,10,10,10
1001146,2,筐,2,2,2,2
1000226,36,筐,36,36,36,36
1000830,36,筐,36,36,36,36
1000831,12,筐,12,12,12,12
1001067,36,筐,36,36,36,36
1001125,24,筐,24,24,24,24
1000224,36,筐,36,36,36,36
